model,version,PGI,PGU,stability
RF,smote,0.3167021276595745,0.0007978723404255314,0.8058887043937364
RF,class_weight,0.48473404255319164,0.0014893617021276586,0.9975230622514341
RF,raw,0.2112765957446808,0.00010638297872340435,0.9966968529326152
XGBoost,smote,0.31390148401260376,0.0,0.878680134617859
XGBoost,class_weight,0.4539249837398529,0.0,0.9120875393827106
XGBoost,raw,0.6572259664535522,0.0,0.9254040874888612
